"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130101 ~ 20131231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 논현동","167-14","0167","0014","GEOville","16.72","11.2","201309","24","16,700","2","2013","봉은사로1길 42-28",""
"서울특별시 강남구 논현동","173-22","0173","0022","가운빌라","33.72","22.09","201302","23","20,000","4","2007","논현로119길 40",""
"서울특별시 강남구 논현동","107-41","0107","0041","강남하이츠","93.2","45.82","201309","5","45,000","3","2000","언주로140길 24",""
"서울특별시 강남구 논현동","23-14","0023","0014","그랑빌","177.85","127.86","201306","3","125,000","4","2003","학동로3길 28",""
"서울특별시 강남구 논현동","104-21","0104","0021","노블레스빌","59.43","42.1","201302","25","47,500","4","2012","선릉로137길 22",""
"서울특별시 강남구 논현동","45-3","0045","0003","논현그린빌라","231.2","147.9","201306","27","137,000","4","1995","학동로7길 17",""
"서울특별시 강남구 논현동","274-4","0274","0004","논현빌라(274-4)","93.96","48.23","201306","24","39,000","1","1992","언주로114길 15-13",""
"서울특별시 강남구 논현동","274-7","0274","0007","논현빌라(274-7)","84.96","51.6","201311","14","38,200","4","2004","언주로114길 15-7",""
"서울특별시 강남구 논현동","179-7","0179","0007","논현연립주택","66.24","60.78","201304","13","36,500","3","1988","봉은사로13길 25",""
"서울특별시 강남구 논현동","122-17","0122","0017","논현파크빌(133-72)","22.72","13.56","201304","28","18,300","3","2013","학동로6길 6-13",""
"서울특별시 강남구 논현동","122-17","0122","0017","논현파크빌(133-72)","20.23","12.89","201306","14","17,400","4","2013","학동로6길 6-13",""
"서울특별시 강남구 논현동","107-29","0107","0029","대광빌라","52.37","25.28","201311","11","13,000","-1","1992","언주로136길 15-7",""
"서울특별시 강남구 논현동","13-14","0013","0014","대현빌라","140.28","73.26","201306","12","54,500","1","1993","도산대로8길 17-7",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","16.41","10.21","201307","2","17,500","3","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","19.11","11.89","201307","6","17,400","3","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","19.11","11.89","201307","6","17,400","2","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","16.41","10.21","201308","13","17,400","2","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","16.45","10.23","201308","13","17,400","2","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","15.04","9.35","201310","26","16,600","5","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","21.15","13.16","201310","28","17,200","4","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","19.3","12.01","201310","28","17,200","4","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","20.01","12.45","201311","1","17,200","4","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","18.99","11.81","201311","3","17,200","4","2012","논현로123길 54",""
"서울특별시 강남구 논현동","149-33","0149","0033","더스마트빌리지","19.11","11.89","201311","9","17,300","2","2012","논현로123길 54",""
"서울특별시 강남구 논현동","41-15","0041","0015","덕천빌라","215.24","108.05","201310","7","103,800","2","1992","학동로11길 22",""
"서울특별시 강남구 논현동","21-8","0021","0008","동방그린빌","26.48","14.54","201307","9","10,200","-1","1995","강남대로146길 8-7",""
"서울특별시 강남구 논현동","124-36","0124","0036","동현빌라","145.49","74.8","201304","28","50,000","3","1993","학동로8길 11",""
